gene,module
ENSG00000049860,41
ENSG00000160404,41
ENSG00000005812,41
ENSG00000085382,41
ENSG00000169087,41
ENSG00000116138,41
ENSG00000171862,41
ENSG00000071462,42
ENSG00000175093,42
ENSG00000169919,42
ENSG00000012061,42
ENSG00000197461,42
ENSG00000131368,42
ENSG00000239857,42
ENSG00000085063,42
ENSG00000014257,42
ENSG00000162910,42
ENSG00000154370,42
ENSG00000102882,42
ENSG00000185880,42
ENSG00000140450,42
ENSG00000166825,42
ENSG00000175166,42
ENSG00000134107,42
ENSG00000125863,42
ENSG00000156928,42
ENSG00000101421,42
ENSG00000132432,42
ENSG00000106070,42
ENSG00000043093,42
ENSG00000171960,42
ENSG00000166441,42
ENSG00000143256,42
ENSG00000196313,42
ENSG00000100347,42
ENSG00000198836,42
ENSG00000081307,42
ENSG00000101546,42
ENSG00000128973,42
ENSG00000128524,42
ENSG00000182117,42
ENSG00000188191,42
ENSG00000183579,42
ENSG00000272391,42
ENSG00000126934,42
ENSG00000143314,42
ENSG00000196531,42
ENSG00000078237,42
ENSG00000149806,42
ENSG00000125845,42
ENSG00000163923,42
ENSG00000172932,42
ENSG00000162298,42
ENSG00000088986,42
ENSG00000166311,42
ENSG00000101439,42
ENSG00000114735,42
ENSG00000166479,42
ENSG00000106105,42
ENSG00000188846,42
ENSG00000173171,42
ENSG00000002745,42
ENSG00000105929,42
ENSG00000163882,42
ENSG00000062582,42
ENSG00000100142,42
ENSG00000090432,42
ENSG00000103342,42
ENSG00000169189,42
ENSG00000103429,42
ENSG00000141552,42
ENSG00000205220,42
ENSG00000100387,42
ENSG00000120708,42
ENSG00000185262,42
ENSG00000103363,42
ENSG00000103035,42
ENSG00000119899,42
ENSG00000109572,42
ENSG00000132698,42
ENSG00000141556,42
ENSG00000153207,42
ENSG00000171421,42
ENSG00000124802,42
ENSG00000155846,42
ENSG00000131507,42
ENSG00000178999,42
ENSG00000167705,42
ENSG00000142684,42
ENSG00000182670,42
ENSG00000007168,42
ENSG00000164587,42
ENSG00000145736,42
ENSG00000005156,42
ENSG00000108424,42
ENSG00000159111,42
ENSG00000166592,42
ENSG00000161981,42
ENSG00000099246,42
ENSG00000253626,42
ENSG00000138138,42
ENSG00000142507,42
ENSG00000164327,42
ENSG00000107874,42
ENSG00000198951,42
ENSG00000107949,42
ENSG00000112651,42
ENSG00000163319,42
ENSG00000090316,42
ENSG00000204618,42
ENSG00000272047,42
ENSG00000175063,42
ENSG00000109654,42
ENSG00000185883,42
ENSG00000167526,42
ENSG00000121957,42
ENSG00000018189,42
ENSG00000166851,42
ENSG00000170448,42
ENSG00000111832,42
ENSG00000103148,42
ENSG00000152661,42
ENSG00000033178,42
ENSG00000158022,42
ENSG00000109475,42
ENSG00000108384,42
ENSG00000127774,42
ENSG00000143222,42
ENSG00000159579,42
ENSG00000185608,42
ENSG00000029639,42
ENSG00000183011,42
ENSG00000240972,42
ENSG00000035928,42
ENSG00000119285,42
ENSG00000204568,42
ENSG00000096080,42
ENSG00000117758,42
ENSG00000117748,42
ENSG00000124523,42
ENSG00000277791,42
ENSG00000141002,42
ENSG00000204308,42
ENSG00000159363,42
ENSG00000120438,42
ENSG00000069509,42
ENSG00000121067,42
ENSG00000147586,42
ENSG00000116586,42
ENSG00000137547,42
ENSG00000166902,42
ENSG00000182326,42
ENSG00000100902,42
ENSG00000168883,42
ENSG00000110013,42
ENSG00000177700,42
ENSG00000116039,42
ENSG00000150779,42
ENSG00000164733,42
ENSG00000163565,42
ENSG00000178982,42
ENSG00000102580,42
ENSG00000134324,42
ENSG00000149136,42
ENSG00000173486,42
ENSG00000187790,42
ENSG00000183617,42
ENSG00000126768,42
ENSG00000243147,42
ENSG00000091436,42
ENSG00000139496,42
ENSG00000071082,42
ENSG00000005007,42
ENSG00000089902,42
ENSG00000125827,42
ENSG00000088298,42
ENSG00000126247,42
ENSG00000120675,42
ENSG00000136826,42
ENSG00000126756,42
ENSG00000159377,42
ENSG00000119705,42
ENSG00000158552,42
ENSG00000070756,42
ENSG00000115541,42
ENSG00000121022,42
ENSG00000100908,42
ENSG00000071894,42
ENSG00000204120,42
ENSG00000074582,42
ENSG00000266472,42
ENSG00000147614,42
ENSG00000055332,42
ENSG00000099800,42
