,Gene,Hallmark,Subprocess,ENSEMBL,ENSEMBL_mice
681,TGM2,Autophagy,Autophagy core,ENSG00000198959,ENSMUSG00000037820
682,STUB1,Autophagy,Autophagy core,ENSG00000103266,ENSMUSG00000039615
683,PMAIP1,Autophagy,Autophagy core,ENSG00000141682,ENSMUSG00000024521
684,PCM1,Autophagy,Autophagy core,ENSG00000078674,ENSMUSG00000031592
685,RAB3GAP1,Autophagy,Autophagy core,ENSG00000115839,ENSMUSG00000036104
686,RAB18,Autophagy,Autophagy core,ENSG00000099246,ENSMUSG00000073639
687,CLN3,Autophagy,Autophagy core,ENSG00000261832,ENSMUSG00000030720
688,CFTR,Autophagy,Autophagy core,ENSG00000001626,ENSMUSG00000041301
689,TP53INP1,Autophagy,Autophagy core,ENSG00000164938,
690,TRIM13,Autophagy,Autophagy core,ENSG00000204977,ENSMUSG00000035235
691,RAB11A,Autophagy,Autophagy core,ENSG00000103769,ENSMUSG00000004771
692,RAB23,Autophagy,Autophagy core,ENSG00000112210,ENSMUSG00000004768
693,RAB1A,Autophagy,Autophagy core,ENSG00000138069,ENSMUSG00000020149
694,RAB5A,Autophagy,Autophagy core,ENSG00000144566,ENSMUSG00000017831
695,RAB8B,Autophagy,Autophagy core,ENSG00000166128,ENSMUSG00000036943
696,RAB1B,Autophagy,Autophagy core,ENSG00000174903,ENSMUSG00000024870
697,RAB7A,Autophagy,Autophagy core,ENSG00000075785,
698,RAB5B,Autophagy,Autophagy core,ENSG00000111540,ENSMUSG00000000711
699,RAB5C,Autophagy,Autophagy core,ENSG00000108774,ENSMUSG00000019173
700,RAB32,Autophagy,Autophagy core,ENSG00000118508,ENSMUSG00000019832
701,RAB24,Autophagy,Autophagy core,ENSG00000169228,ENSMUSG00000034789
702,RAB8A,Autophagy,Autophagy core,ENSG00000167461,ENSMUSG00000003037
703,RAB11B,Autophagy,Autophagy core,ENSG00000185236,ENSMUSG00000077450
704,RAB33B,Autophagy,Autophagy core,ENSG00000172007,ENSMUSG00000027739
705,RAB9A,Autophagy,Autophagy core,ENSG00000123595,
706,RAB25,Autophagy,Autophagy core,ENSG00000132698,ENSMUSG00000008601
707,RAB4A,Autophagy,Autophagy core,ENSG00000168118,ENSMUSG00000019478
708,RAB4B,Autophagy,Autophagy core,ENSG00000167578,ENSMUSG00000053291
709,USP25,Autophagy,Autophagy core,ENSG00000155313,ENSMUSG00000022867
710,USP16,Autophagy,Autophagy core,ENSG00000291527,ENSMUSG00000025616
711,U2AF1,Autophagy,Autophagy core,ENSG00000160201,ENSMUSG00000061613
712,USP8,Autophagy,Autophagy core,ENSG00000138592,ENSMUSG00000027363
713,USP7,Autophagy,Autophagy core,ENSG00000187555,ENSMUSG00000022710
714,USP11,Autophagy,Autophagy core,ENSG00000102226,ENSMUSG00000031066
715,USP10,Autophagy,Autophagy core,ENSG00000103194,ENSMUSG00000031826
716,PIK3AP1,Autophagy,Autophagy core,ENSG00000155629,ENSMUSG00000025017
717,TSKS,Autophagy,Autophagy core,ENSG00000126467,ENSMUSG00000059891
718,NRBP2,Autophagy,Autophagy core,ENSG00000185189,ENSMUSG00000075590
719,NEK9,Autophagy,Autophagy core,ENSG00000119638,ENSMUSG00000034290
720,PGK2,Autophagy,Autophagy core,ENSG00000170950,ENSMUSG00000031233
721,NME4,Autophagy,Autophagy core,ENSG00000103202,ENSMUSG00000024177
722,MOS,Autophagy,Autophagy core,ENSG00000172680,ENSMUSG00000078365
723,IKBKB,Autophagy,Autophagy core,ENSG00000104365,ENSMUSG00000031537
724,TPD52L3,Autophagy,Autophagy core,ENSG00000170777,
725,LIMK1,Autophagy,Autophagy core,ENSG00000106683,ENSMUSG00000029674
726,GLYCTK,Autophagy,Autophagy core,ENSG00000168237,ENSMUSG00000020258
727,PRKACA,Autophagy,Autophagy core,ENSG00000072062,ENSMUSG00000005469
728,ALPK2,Autophagy,Autophagy core,ENSG00000198796,ENSMUSG00000032845
729,ACVR2B,Autophagy,Autophagy core,ENSG00000114739,ENSMUSG00000061393
730,MARK4,Autophagy,Autophagy core,ENSG00000007047,ENSMUSG00000030397
731,MAP3K1,Autophagy,Autophagy core,ENSG00000095015,ENSMUSG00000021754
732,NUAK1,Autophagy,Autophagy core,ENSG00000074590,ENSMUSG00000020032
733,LY6G5B,Autophagy,Autophagy core,ENSG00000239497,ENSMUSG00000043807
734,PRDX5,Autophagy,Autophagy core,ENSG00000126432,ENSMUSG00000024953
735,PRKDC,Autophagy,Autophagy core,ENSG00000253729,ENSMUSG00000022672
736,AK7,Autophagy,Autophagy core,ENSG00000140057,ENSMUSG00000041323
737,PRKCE,Autophagy,Autophagy core,ENSG00000171132,ENSMUSG00000045038
738,CDC42SE2,Autophagy,Autophagy core,ENSG00000158985,ENSMUSG00000052298
739,MAPK4,Autophagy,Autophagy core,ENSG00000141639,ENSMUSG00000024558
740,TIE1,Autophagy,Autophagy core,ENSG00000066056,ENSMUSG00000033191
741,SKAP1,Autophagy,Autophagy core,ENSG00000141293,ENSMUSG00000057058
742,CLK3,Autophagy,Autophagy core,ENSG00000179335,ENSMUSG00000032316
743,DGKB,Autophagy,Autophagy core,ENSG00000136267,ENSMUSG00000036095
744,CHKA,Autophagy,Autophagy core,ENSG00000110721,ENSMUSG00000024843
745,CLK2,Autophagy,Autophagy core,ENSG00000261893,ENSMUSG00000068917
746,BMX,Autophagy,Autophagy core,ENSG00000102010,ENSMUSG00000031377
747,ATF2,Autophagy,Autophagy upregulators,ENSG00000115966,ENSMUSG00000027104
748,ATF3,Autophagy,Autophagy upregulators,ENSG00000162772,ENSMUSG00000026628
749,ATF4,Autophagy,Autophagy upregulators,ENSG00000128272,ENSMUSG00000042406
750,ATF6,Autophagy,Autophagy upregulators,ENSG00000118217,ENSMUSG00000026663
751,CEBPB,Autophagy,Autophagy upregulators,ENSG00000172216,ENSMUSG00000056501
752,CREB1,Autophagy,Autophagy upregulators,ENSG00000118260,ENSMUSG00000025958
753,CRTC2,Autophagy,Autophagy upregulators,ENSG00000160741,ENSMUSG00000027936
754,DDIT3,Autophagy,Autophagy upregulators,ENSG00000175197,ENSMUSG00000116429
755,E2F1,Autophagy,Autophagy upregulators,ENSG00000101412,ENSMUSG00000027490
756,EGR1,Autophagy,Autophagy upregulators,ENSG00000120738,ENSMUSG00000038418
757,EIF2A,Autophagy,Autophagy upregulators,ENSG00000144895,ENSMUSG00000027810
758,EPAS1,Autophagy,Autophagy upregulators,ENSG00000116016,ENSMUSG00000024140
759,ESR2,Autophagy,Autophagy upregulators,ENSG00000140009,ENSMUSG00000021055
760,FOS,Autophagy,Autophagy upregulators,ENSG00000170345,ENSMUSG00000021250
761,FOXO1,Autophagy,Autophagy upregulators,ENSG00000150907,ENSMUSG00000044167
762,FOXO3,Autophagy,Autophagy upregulators,ENSG00000118689,ENSMUSG00000048756
763,FOXO4,Autophagy,Autophagy upregulators,ENSG00000184481,ENSMUSG00000042903
764,FOXO6,Autophagy,Autophagy upregulators,ENSG00000281518,ENSMUSG00000052135
765,HEY2,Autophagy,Autophagy upregulators,ENSG00000135547,ENSMUSG00000019789
766,HIF1A,Autophagy,Autophagy upregulators,ENSG00000100644,ENSMUSG00000021109
767,HSF1,Autophagy,Autophagy upregulators,ENSG00000185122,ENSMUSG00000022556
768,IRF1,Autophagy,Autophagy upregulators,ENSG00000125347,ENSMUSG00000018899
769,LMX1A,Autophagy,Autophagy upregulators,ENSG00000162761,ENSMUSG00000026686
770,LMX1B,Autophagy,Autophagy upregulators,ENSG00000136944,ENSMUSG00000038765
771,MAPK1,Autophagy,Autophagy upregulators,ENSG00000100030,ENSMUSG00000063358
772,MAPK3,Autophagy,Autophagy upregulators,ENSG00000102882,ENSMUSG00000063065
773,MEF2A,Autophagy,Autophagy upregulators,ENSG00000068305,ENSMUSG00000030557
774,MITF,Autophagy,Autophagy upregulators,ENSG00000187098,ENSMUSG00000035158
775,MYC,Autophagy,Autophagy upregulators,ENSG00000136997,ENSMUSG00000022346
776,NACC1,Autophagy,Autophagy upregulators,ENSG00000160877,ENSMUSG00000001910
777,NFE2L1,Autophagy,Autophagy upregulators,ENSG00000082641,ENSMUSG00000038615
778,NFE2L2,Autophagy,Autophagy upregulators,ENSG00000116044,ENSMUSG00000015839
779,NFKB1,Autophagy,Autophagy upregulators,ENSG00000109320,ENSMUSG00000028163
780,NRF1,Autophagy,Autophagy upregulators,ENSG00000106459,ENSMUSG00000058440
781,PPARA,Autophagy,Autophagy upregulators,ENSG00000186951,ENSMUSG00000022383
782,PPARG,Autophagy,Autophagy upregulators,ENSG00000132170,ENSMUSG00000000440
783,PPARGC1A,Autophagy,Autophagy upregulators,ENSG00000109819,ENSMUSG00000029167
784,PPARGC1B,Autophagy,Autophagy upregulators,ENSG00000155846,ENSMUSG00000033871
785,RARA,Autophagy,Autophagy upregulators,ENSG00000131759,ENSMUSG00000037992
786,RELA,Autophagy,Autophagy upregulators,ENSG00000173039,ENSMUSG00000024927
787,RELB,Autophagy,Autophagy upregulators,ENSG00000104856,ENSMUSG00000002983
788,RFX1,Autophagy,Autophagy upregulators,ENSG00000288283,ENSMUSG00000031706
789,SIRT1,Autophagy,Autophagy upregulators,ENSG00000096717,ENSMUSG00000020063
790,SIRT2,Autophagy,Autophagy upregulators,ENSG00000068903,ENSMUSG00000015149
791,SIRT3,Autophagy,Autophagy upregulators,ENSG00000142082,ENSMUSG00000025486
792,SIRT4,Autophagy,Autophagy upregulators,ENSG00000089163,ENSMUSG00000029524
793,SIRT5,Autophagy,Autophagy upregulators,ENSG00000124523,ENSMUSG00000054021
794,SIRT6,Autophagy,Autophagy upregulators,ENSG00000077463,ENSMUSG00000034748
795,SIRT7,Autophagy,Autophagy upregulators,ENSG00000187531,ENSMUSG00000025138
796,SOX2,Autophagy,Autophagy upregulators,ENSG00000181449,ENSMUSG00000074637
797,SP1,Autophagy,Autophagy upregulators,ENSG00000185591,ENSMUSG00000001280
798,STAT3,Autophagy,Autophagy upregulators,ENSG00000168610,ENSMUSG00000004040
799,TFE3,Autophagy,Autophagy upregulators,ENSG00000068323,ENSMUSG00000000134
800,TFEB,Autophagy,Autophagy upregulators,ENSG00000112561,ENSMUSG00000023990
801,TFEC,Autophagy,Autophagy upregulators,ENSG00000105967,ENSMUSG00000029553
802,TNFAIP3,Autophagy,Autophagy upregulators,ENSG00000118503,ENSMUSG00000019850
803,TP53,Autophagy,Autophagy upregulators,ENSG00000141510,
804,XBP1,Autophagy,Autophagy upregulators,ENSG00000100219,ENSMUSG00000020484
805,YY1,Autophagy,Autophagy upregulators,ENSG00000100811,ENSMUSG00000021264
806,ZEB1,Autophagy,Autophagy upregulators,ENSG00000148516,ENSMUSG00000024238
807,ATF5,Autophagy,Autophagy downregulators,ENSG00000169136,ENSMUSG00000038539
808,BDNF,Autophagy,Autophagy downregulators,ENSG00000176697,ENSMUSG00000048482
809,JUN,Autophagy,Autophagy downregulators,ENSG00000177606,ENSMUSG00000052684
810,JUNB,Autophagy,Autophagy downregulators,ENSG00000171223,ENSMUSG00000052837
811,KEAP1,Autophagy,Autophagy downregulators,ENSG00000079999,ENSMUSG00000003308
812,NR1H4,Autophagy,Autophagy downregulators,ENSG00000012504,ENSMUSG00000047638
813,STAT1,Autophagy,Autophagy downregulators,ENSG00000115415,ENSMUSG00000026104
814,ZKSCAN3,Autophagy,Autophagy downregulators,ENSG00000189298,ENSMUSG00000021327
815,BNIP3,Autophagy,Mitophagy,ENSG00000176171,ENSMUSG00000078566
816,MAPK1,Autophagy,Mitophagy,ENSG00000100030,ENSMUSG00000063358
817,MAPK14,Autophagy,Mitophagy,ENSG00000112062,ENSMUSG00000053436
818,SMURF1,Autophagy,Mitophagy,ENSG00000198742,ENSMUSG00000038780
819,ATP13A2,Autophagy,Mitophagy,ENSG00000159363,ENSMUSG00000036622
820,SPATA18,Autophagy,Mitophagy,ENSG00000163071,ENSMUSG00000029155
821,TBK1,Autophagy,Mitophagy,ENSG00000183735,ENSMUSG00000020115
822,CERS1,Autophagy,Mitophagy,ENSG00000223802,ENSMUSG00000087408
823,VCP,Autophagy,Mitophagy,ENSG00000165280,ENSMUSG00000028452
824,HDAC6,Autophagy,Mitophagy,ENSG00000094631,ENSMUSG00000031161
825,USP8,Autophagy,Mitophagy,ENSG00000138592,ENSMUSG00000027363
826,PINK1,Autophagy,Mitophagy,ENSG00000158828,ENSMUSG00000028756
827,MUL1,Autophagy,Mitophagy,ENSG00000090432,ENSMUSG00000041241
828,FBXO7,Autophagy,Mitophagy,ENSG00000100225,ENSMUSG00000001786
829,TBC1D17,Autophagy,Mitophagy,ENSG00000104946,ENSMUSG00000038520
830,TBC1D15,Autophagy,Mitophagy,ENSG00000121749,ENSMUSG00000020130
831,RHEB,Autophagy,Mitophagy,ENSG00000106615,ENSMUSG00000028945
832,RNF185,Autophagy,Mitophagy,ENSG00000138942,ENSMUSG00000020448
833,PARK7,Autophagy,Mitophagy,ENSG00000116288,ENSMUSG00000028964
834,TGM2,Autophagy,Mitophagy,ENSG00000198959,ENSMUSG00000037820
835,BCL2L13,Autophagy,Mitophagy,ENSG00000099968,ENSMUSG00000009112
836,HSPA1L,Autophagy,Mitophagy,ENSG00000206383,ENSMUSG00000007033
837,BAG4,Autophagy,Mitophagy,ENSG00000156735,ENSMUSG00000037316
838,TOMM7,Autophagy,Mitophagy,ENSG00000196683,ENSMUSG00000028998
839,AMBRA1,Autophagy,Mitophagy,ENSG00000110497,ENSMUSG00000040506
840,BECN1,Autophagy,Mitophagy,ENSG00000126581,ENSMUSG00000035086
841,UBE2D2,Autophagy,Mitophagy,ENSG00000131508,
842,UBE2L3,Autophagy,Mitophagy,ENSG00000185651,ENSMUSG00000038965
843,UBE2D3,Autophagy,Mitophagy,ENSG00000109332,ENSMUSG00000078578
844,UBE2N,Autophagy,Mitophagy,ENSG00000177889,ENSMUSG00000074781
845,RAB5A,Autophagy,Mitophagy,ENSG00000144566,ENSMUSG00000017831
846,RAB5B,Autophagy,Mitophagy,ENSG00000111540,ENSMUSG00000000711
847,RAB5C,Autophagy,Mitophagy,ENSG00000108774,ENSMUSG00000019173
848,RAB7A,Autophagy,Mitophagy,ENSG00000075785,
849,FLCN,Autophagy,Mitophagy,ENSG00000154803,ENSMUSG00000032633
850,FNIP1,Autophagy,Mitophagy,ENSG00000217128,ENSMUSG00000035992
851,NIPSNAP1,Autophagy,Mitophagy,ENSG00000184117,ENSMUSG00000034285
852,NIPSNAP2,Autophagy,Mitophagy,ENSG00000146729,ENSMUSG00000029432
853,SESN2,Autophagy,Mitophagy,ENSG00000130766,ENSMUSG00000028893
854,RB1CC1,Autophagy,Mitophagy,ENSG00000023287,ENSMUSG00000025907
855,ULK1,Autophagy,Mitophagy,ENSG00000177169,ENSMUSG00000029512
856,SQSTM1,Autophagy,Mitophagy,ENSG00000284099,ENSMUSG00000015837
857,BNIP3L,Autophagy,Mitophagy,ENSG00000104765,ENSMUSG00000022051
858,FUNDC1,Autophagy,Mitophagy,ENSG00000069509,ENSMUSG00000025040
859,OPTN,Autophagy,Mitophagy,ENSG00000123240,ENSMUSG00000026672
860,CALCOCO2,Autophagy,Mitophagy,ENSG00000136436,ENSMUSG00000006056
861,PHB2,Autophagy,Mitophagy,ENSG00000215021,ENSMUSG00000004264
862,TAX1BP1,Autophagy,Mitophagy,ENSG00000106052,ENSMUSG00000004535
863,LRPPRC,Autophagy,Mitophagy,ENSG00000138095,ENSMUSG00000024120
864,USP30,Autophagy,Mitophagy,ENSG00000135093,ENSMUSG00000029592
865,USP35,Autophagy,Mitophagy,ENSG00000118369,ENSMUSG00000035713
866,USP15,Autophagy,Mitophagy,ENSG00000135655,ENSMUSG00000020124
867,SIAH3,Autophagy,Mitophagy,ENSG00000215475,ENSMUSG00000091722
868,BCL2L1,Autophagy,Mitophagy,ENSG00000171552,ENSMUSG00000007659
869,MCL1,Autophagy,Mitophagy,ENSG00000143384,ENSMUSG00000038612
870,ZNF746,Autophagy,Mitophagy,ENSG00000181220,
871,MFN1,Autophagy,Mitophagy,ENSG00000171109,ENSMUSG00000027668
872,MFN2,Autophagy,Mitophagy,ENSG00000116688,ENSMUSG00000029020
873,OPA1,Autophagy,Mitophagy,ENSG00000198836,ENSMUSG00000038084
874,ROCK1,Autophagy,Mitophagy,ENSG00000067900,ENSMUSG00000024290
875,MIEF1,Autophagy,Mitophagy,ENSG00000100335,ENSMUSG00000022412
876,MIEF2,Autophagy,Mitophagy,ENSG00000177427,ENSMUSG00000018599
877,DNM1L,Autophagy,Mitophagy,ENSG00000087470,ENSMUSG00000022789
878,FIS1,Autophagy,Mitophagy,ENSG00000214253,ENSMUSG00000019054
879,HTRA2,Autophagy,Mitophagy,ENSG00000115317,ENSMUSG00000068329
880,MFF,Autophagy,Mitophagy,ENSG00000168958,ENSMUSG00000026150
881,SIRT2,Autophagy,Mitophagy,ENSG00000068903,ENSMUSG00000015149
882,SIRT3,Autophagy,Mitophagy,ENSG00000142082,ENSMUSG00000025486
883,SIRT5,Autophagy,Mitophagy,ENSG00000124523,ENSMUSG00000054021
884,SOX2,Autophagy,Mitophagy,ENSG00000181449,ENSMUSG00000074637
885,MITF,Autophagy,Mitophagy,ENSG00000187098,ENSMUSG00000035158
886,TFE3,Autophagy,Mitophagy,ENSG00000068323,ENSMUSG00000000134
887,TFEB,Autophagy,Mitophagy,ENSG00000112561,ENSMUSG00000023990
888,TFEC,Autophagy,Mitophagy,ENSG00000105967,ENSMUSG00000029553
889,SREBF1,Autophagy,Mitophagy,ENSG00000072310,ENSMUSG00000020538
890,SREBF2,Autophagy,Mitophagy,ENSG00000198911,ENSMUSG00000022463
891,VAMP3,Autophagy,Docking and fusion,ENSG00000049245,ENSMUSG00000028955
892,STX17,Autophagy,Docking and fusion,ENSG00000136874,ENSMUSG00000061455
893,YKT6,Autophagy,Docking and fusion,ENSG00000106636,ENSMUSG00000002741
894,VTI1A,Autophagy,Docking and fusion,ENSG00000151532,ENSMUSG00000024983
895,VAMP7,Autophagy,Docking and fusion,ENSG00000292366,
896,SNAP29,Autophagy,Docking and fusion,ENSG00000099940,ENSMUSG00000022765
897,VPS33A,Autophagy,Docking and fusion,ENSG00000139719,ENSMUSG00000029434
898,RAB7A,Autophagy,Docking and fusion,ENSG00000075785,
899,VPS41,Autophagy,Docking and fusion,ENSG00000006715,ENSMUSG00000041236
900,VPS11,Autophagy,Docking and fusion,ENSG00000280616,ENSMUSG00000032127
901,VPS16,Autophagy,Docking and fusion,ENSG00000215305,ENSMUSG00000027411
902,VPS39,Autophagy,Docking and fusion,ENSG00000166887,ENSMUSG00000027291
903,VPS18,Autophagy,Docking and fusion,ENSG00000104142,ENSMUSG00000034216
904,EPG5,Autophagy,Docking and fusion,ENSG00000152223,ENSMUSG00000039840
905,ATG14,Autophagy,Docking and fusion,ENSG00000126775,ENSMUSG00000037526
906,TECPR1,Autophagy,Docking and fusion,ENSG00000205356,ENSMUSG00000066621
907,GORASP2,Autophagy,Docking and fusion,ENSG00000115806,ENSMUSG00000014959
908,BIRC6,Autophagy,Docking and fusion,ENSG00000115760,ENSMUSG00000024073
909,RUFY4,Autophagy,Docking and fusion,ENSG00000188282,ENSMUSG00000061815
910,ARL8B,Autophagy,Docking and fusion,ENSG00000134108,ENSMUSG00000030105
911,RAB20,Autophagy,Docking and fusion,ENSG00000139832,ENSMUSG00000031504
912,RAB39A,Autophagy,Docking and fusion,ENSG00000179331,
913,CTSB,Autophagy,Lysosome,ENSG00000164733,ENSMUSG00000021939
914,CTSK,Autophagy,Lysosome,ENSG00000143387,ENSMUSG00000028111
915,CTSS,Autophagy,Lysosome,ENSG00000163131,ENSMUSG00000038642
916,PPT1,Autophagy,Lysosome,ENSG00000131238,ENSMUSG00000028657
917,ASAH1,Autophagy,Lysosome,ENSG00000104763,ENSMUSG00000031591
918,CD1E,Autophagy,Lysosome,ENSG00000158488,
919,GALNS,Autophagy,Lysosome,ENSG00000141012,ENSMUSG00000015027
920,GLB1,Autophagy,Lysosome,ENSG00000170266,ENSMUSG00000045594
921,GM2A,Autophagy,Lysosome,ENSG00000196743,ENSMUSG00000000594
922,GNS,Autophagy,Lysosome,ENSG00000135677,ENSMUSG00000034707
923,GUSB,Autophagy,Lysosome,ENSG00000169919,ENSMUSG00000025534
924,HEXA,Autophagy,Lysosome,ENSG00000213614,ENSMUSG00000025232
925,HEXB,Autophagy,Lysosome,ENSG00000049860,ENSMUSG00000021665
926,IDS,Autophagy,Lysosome,ENSG00000010404,ENSMUSG00000035847
927,LGMN,Autophagy,Lysosome,ENSG00000100600,ENSMUSG00000021190
928,PLBD2,Autophagy,Lysosome,ENSG00000151176,ENSMUSG00000029598
929,SGSH,Autophagy,Lysosome,ENSG00000181523,ENSMUSG00000005043
930,SMPD1,Autophagy,Lysosome,ENSG00000166311,ENSMUSG00000037049
931,ABCA2,Autophagy,Lysosome,ENSG00000107331,ENSMUSG00000026944
932,ABCA5,Autophagy,Lysosome,ENSG00000154265,ENSMUSG00000018800
933,ABCB9,Autophagy,Lysosome,ENSG00000150967,ENSMUSG00000029408
934,AP1G1,Autophagy,Lysosome,ENSG00000166747,ENSMUSG00000031731
935,AP3B1,Autophagy,Lysosome,ENSG00000132842,ENSMUSG00000021686
936,ARL8A,Autophagy,Lysosome,ENSG00000143862,ENSMUSG00000026426
937,ARL8B,Autophagy,Lysosome,ENSG00000134108,ENSMUSG00000030105
938,ATP13A2,Autophagy,Lysosome,ENSG00000159363,ENSMUSG00000036622
939,ATP6V0A2,Autophagy,Lysosome,ENSG00000185344,ENSMUSG00000038023
940,ATP6V0A4,Autophagy,Lysosome,ENSG00000105929,ENSMUSG00000038600
941,ATP6V0C,Autophagy,Lysosome,ENSG00000185883,ENSMUSG00000024121
942,ATP6V0D1,Autophagy,Lysosome,ENSG00000159720,ENSMUSG00000013160
943,CCZ1,Autophagy,Lysosome,ENSG00000122674,ENSMUSG00000029617
944,CD1B,Autophagy,Lysosome,ENSG00000158485,
945,CD68,Autophagy,Lysosome,ENSG00000129226,ENSMUSG00000018774
946,CLCN5,Autophagy,Lysosome,ENSG00000171365,ENSMUSG00000004317
947,CLCN6,Autophagy,Lysosome,ENSG00000011021,ENSMUSG00000029016
948,CLCN7,Autophagy,Lysosome,ENSG00000103249,ENSMUSG00000036636
949,CLN5,Autophagy,Lysosome,ENSG00000102805,ENSMUSG00000022125
950,CTNS,Autophagy,Lysosome,ENSG00000040531,ENSMUSG00000005949
951,DAB2,Autophagy,Lysosome,ENSG00000153071,ENSMUSG00000022150
952,DNAJC5,Autophagy,Lysosome,ENSG00000101152,ENSMUSG00000000826
953,DRAM1,Autophagy,Lysosome,ENSG00000136048,ENSMUSG00000020057
954,EGF,Autophagy,Lysosome,ENSG00000138798,ENSMUSG00000028017
955,GAA,Autophagy,Lysosome,ENSG00000171298,ENSMUSG00000025579
956,GPR137B,Autophagy,Lysosome,ENSG00000077585,ENSMUSG00000021306
957,HGSNAT,Autophagy,Lysosome,ENSG00000165102,ENSMUSG00000037260
958,LAMP2,Autophagy,Lysosome,ENSG00000005893,ENSMUSG00000016534
959,LAMP3,Autophagy,Lysosome,ENSG00000078081,ENSMUSG00000041247
960,LITAF,Autophagy,Lysosome,ENSG00000189067,ENSMUSG00000022500
961,LMBRD1,Autophagy,Lysosome,ENSG00000168216,ENSMUSG00000073725
962,MCOLN1,Autophagy,Lysosome,ENSG00000090674,ENSMUSG00000004567
963,MFSD8,Autophagy,Lysosome,ENSG00000164073,ENSMUSG00000025759
964,MYO7A,Autophagy,Lysosome,ENSG00000137474,ENSMUSG00000030761
965,NCSTN,Autophagy,Lysosome,ENSG00000162736,ENSMUSG00000003458
966,NPC1,Autophagy,Lysosome,ENSG00000141458,ENSMUSG00000024413
967,PI4K2A,Autophagy,Lysosome,ENSG00000155252,ENSMUSG00000025178
968,PLD1,Autophagy,Lysosome,ENSG00000075651,ENSMUSG00000027695
969,PSEN1,Autophagy,Lysosome,ENSG00000080815,ENSMUSG00000019969
970,RAB14,Autophagy,Lysosome,ENSG00000119396,ENSMUSG00000026878
971,RAB5C,Autophagy,Lysosome,ENSG00000108774,ENSMUSG00000019173
972,RILP,Autophagy,Lysosome,ENSG00000167705,ENSMUSG00000038195
973,RNF13,Autophagy,Lysosome,ENSG00000082996,ENSMUSG00000036503
974,SCARB2,Autophagy,Lysosome,ENSG00000138760,ENSMUSG00000029426
975,SIDT2,Autophagy,Lysosome,ENSG00000149577,ENSMUSG00000034908
976,SLC11A2,Autophagy,Lysosome,ENSG00000110911,ENSMUSG00000023030
977,SLC15A3,Autophagy,Lysosome,ENSG00000110446,ENSMUSG00000024737
978,SLC17A5,Autophagy,Lysosome,ENSG00000119899,ENSMUSG00000049624
979,SLC29A3,Autophagy,Lysosome,ENSG00000198246,ENSMUSG00000020100
980,SLC36A1,Autophagy,Lysosome,ENSG00000123643,ENSMUSG00000020261
981,SPHK2,Autophagy,Lysosome,ENSG00000063176,ENSMUSG00000057342
982,STARD3,Autophagy,Lysosome,ENSG00000131748,ENSMUSG00000018167
983,STX7,Autophagy,Lysosome,ENSG00000079950,ENSMUSG00000019998
984,TCIRG1,Autophagy,Lysosome,ENSG00000110719,ENSMUSG00000001750
985,TECPR1,Autophagy,Lysosome,ENSG00000205356,ENSMUSG00000066621
986,TMEM192,Autophagy,Lysosome,ENSG00000170088,ENSMUSG00000025521
987,TMEM59,Autophagy,Lysosome,ENSG00000116209,ENSMUSG00000028618
988,TMEM74,Autophagy,Lysosome,ENSG00000164841,ENSMUSG00000054409
989,TMEM9,Autophagy,Lysosome,ENSG00000116857,ENSMUSG00000026411
990,TPCN1,Autophagy,Lysosome,ENSG00000186815,ENSMUSG00000032741
991,TPCN2,Autophagy,Lysosome,ENSG00000162341,ENSMUSG00000048677
992,TSPAN1,Autophagy,Lysosome,ENSG00000117472,ENSMUSG00000028699
993,VPS11,Autophagy,Lysosome,ENSG00000280616,ENSMUSG00000032127
994,VPS16,Autophagy,Lysosome,ENSG00000215305,ENSMUSG00000027411
995,VPS18,Autophagy,Lysosome,ENSG00000104142,ENSMUSG00000034216
996,VPS35,Autophagy,Lysosome,ENSG00000069329,ENSMUSG00000031696
997,VPS39,Autophagy,Lysosome,ENSG00000166887,ENSMUSG00000027291
998,ZNRF2,Autophagy,Lysosome,ENSG00000180233,ENSMUSG00000058446
999,TRIM23,Autophagy,Lysosome,ENSG00000113595,ENSMUSG00000021712
1000,ACP2,Autophagy,Lysosome,ENSG00000134575,ENSMUSG00000002103
1001,ACP5,Autophagy,Lysosome,ENSG00000102575,ENSMUSG00000001348
1002,ADA,Autophagy,Lysosome,ENSG00000196839,ENSMUSG00000017697
1003,AGA,Autophagy,Lysosome,ENSG00000038002,ENSMUSG00000031521
1004,ARSB,Autophagy,Lysosome,ENSG00000113273,ENSMUSG00000042082
1005,ARSD,Autophagy,Lysosome,ENSG00000006756,
1006,ARSG,Autophagy,Lysosome,ENSG00000141337,ENSMUSG00000020604
1007,BCL10,Autophagy,Lysosome,ENSG00000142867,ENSMUSG00000028191
1008,CHID1,Autophagy,Lysosome,ENSG00000177830,ENSMUSG00000025512
1009,CHIT1,Autophagy,Lysosome,ENSG00000133063,ENSMUSG00000026450
1010,CST3,Autophagy,Lysosome,ENSG00000101439,ENSMUSG00000027447
1011,CTBS,Autophagy,Lysosome,ENSG00000117151,ENSMUSG00000028189
1012,CTSA,Autophagy,Lysosome,ENSG00000064601,ENSMUSG00000017760
1013,CTSC,Autophagy,Lysosome,ENSG00000109861,ENSMUSG00000030560
1014,CTSD,Autophagy,Lysosome,ENSG00000117984,ENSMUSG00000007891
1015,CTSF,Autophagy,Lysosome,ENSG00000174080,ENSMUSG00000083282
