,Gene,Hallmark,Subprocess,ENSEMBL,ENSEMBL_mice
77,IL16,Senescence,SASP,ENSG00000172349,ENSMUSG00000001741
78,IL33,Senescence,SASP,ENSG00000137033,ENSMUSG00000024810
79,IL7,Senescence,SASP_Secreted,ENSG00000104432,ENSMUSG00000040329
80,LAMB1,Senescence,Nuclear changes,ENSG00000091136,ENSMUSG00000002900
81,MANF,Senescence,Changes in morphology,ENSG00000145050,ENSMUSG00000032575
82,MAOA,Senescence,Metabolic adaptations,ENSG00000189221,ENSMUSG00000025037
83,MMP10,Senescence,SASP_Secreted,ENSG00000166670,ENSMUSG00000047562
84,MMP2,Senescence,SASP_Secreted,ENSG00000087245,ENSMUSG00000031740
85,MYBPC2,Senescence,Changes in morphology,ENSG00000086967,ENSMUSG00000038670
86,MYH7,Senescence,Changes in morphology,ENSG00000092054,ENSMUSG00000053093
87,NPPA,Senescence,Changes in morphology,ENSG00000175206,ENSMUSG00000041616
88,POSTN,Senescence,SASP,ENSG00000133110,ENSMUSG00000027750
89,STING1,Senescence,SASP,ENSG00000184584,ENSMUSG00000024349
90,TGFB2,Senescence,SASP,ENSG00000092969,ENSMUSG00000039239
91,THBS4,Senescence,SASP,ENSG00000113296,ENSMUSG00000021702
92,Tnfrsf21,Senescence,SASP,ENSG00000146072,ENSMUSG00000023915
93,TP53BP1,Senescence,DNA damage response,ENSG00000067369,
94,AXL,Senescence,SASP_Transmembrane,ENSG00000167601,ENSMUSG00000002602
95,BCL2,Senescence,Upregulation of anti-apoptotic pathways,ENSG00000171791,ENSMUSG00000057329
96,CCL4,Senescence,SASP_Secreted,ENSG00000275824,ENSMUSG00000018930
97,CDKN2D,Senescence,Cell cycle arrest,ENSG00000129355,ENSMUSG00000096472
98,CSF2RA,Senescence,SASP,ENSG00000292357,ENSMUSG00000059326
99,GLB1,Senescence,Increased lysosomal content,ENSG00000170266,ENSMUSG00000045594
100,IL27,Senescence,SASP,ENSG00000197272,ENSMUSG00000044701
101,LGALS3,Senescence,Increased lysosomal content,ENSG00000131981,ENSMUSG00000050335
102,LGALS3BP,Senescence,Increased lysosomal content,ENSG00000108679,ENSMUSG00000033880
103,MACROH2A1,Senescence,DNA damage response,ENSG00000113648,ENSMUSG00000015937
104,MIF,Senescence,SASP_Secreted,ENSG00000240972,ENSMUSG00000033307
105,MTOR,Senescence,Cell cycle arrest,ENSG00000198793,ENSMUSG00000028991
106,PCNA,Senescence,Cell cycle arrest,ENSG00000132646,ENSMUSG00000027342
107,PLAUR,Senescence,SASP_Transmembrane,ENSG00000011422,ENSMUSG00000046223
