,Module_1,Module_2,Module_3,Module_4,Module_5,Module_6,Module_7,Module_8,Module_9,Module_10,Module_11,Module_12,Module_13,Module_14,Module_15,Module_16,Module_17,Module_18,Module_19,Module_20,Module_21,Module_22,Module_23,Module_24,Module_25,Module_26,Module_27,Module_28,Module_29,Module_30,Module_31,Module_32,Module_33,Module_34,Module_35,Module_36,Module_37,Module_38,Module_39,Module_40,Module_41,Module_42,Module_43,Module_44,Module_45,Module_46,Module_47,Module_48,Module_49,Module_50,Module_51
ERX3015937_ERX3015937,-0.14523733377150236,-0.18790863734474386,1.0157221963385148,-0.08416137708307789,-0.05425549032302626,-0.21855817775888506,0.7347381203391188,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,-0.7264130538308661,0.055312582007318145,-0.23129865308375394,-0.30165875686327936,-0.19145607240729606,-0.04734309003214365,0.37773822258701917,-0.8766017756917517,-0.8064892045033054,0.019995434458841554,-0.024794056697695188,-0.06387854171460182,-0.05777318315861562,0.5534782319605744,-0.30193988408408506,-0.06598216926997823,-0.06539552848211072,0.09570753898467926,0.8556369912297317,-0.11782592462852381,-0.2907979724339996,-0.1852029101744124,1.5555061183909666,0.8055400225838948,0.9634321336834577,0.2949971776840612,-0.17921221174503227,-0.3459604851770832,-0.5867074568523725,1.3015934970474303,0.14774136198842136,-1.2831676386456672,-1.2940195908120633,-0.25863642045382695,0.4981439594542285,-0.9567725873282871,0.24723170607131073,0.11742021645423262,0.268788558067506,-4.514518695792163,-0.28629481701812315
ERX3015939_ERX3015939,-0.14523733377150236,-0.18790863734474386,-0.13039090366148515,0.1756894829169221,-0.05425549032302626,0.2797107422411149,0.4057858008294266,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,0.8195606691601214,0.3834408820073183,-0.06205824978217625,0.3342729174037431,-0.19145607240729606,-0.8297130490446143,0.004033115319872715,-0.9027152131234004,-0.8393688328305379,0.20266816589509262,0.01936035159947669,-0.06387854171460182,-0.05777318315861562,0.29620031339057284,-0.30193988408408506,-0.06598216926997823,-0.3060303962224581,-0.29634289101532074,0.024429343204412646,-0.5499352245111095,0.012136388641659446,-0.1852029101744124,0.4332729277886267,0.6657244428642576,1.8456956018002506,0.49067712036585576,-0.2867378047450323,0.29054111613211386,0.17851107039462533,1.8737683720702845,-1.282089042275241,-0.025432628647912993,-0.7502760608072658,-0.25863642045382695,1.2146160347366155,0.8683954368389757,0.35581624268114,1.050970554289585,0.5383811126818623,-1.9047409991356596,-0.28629481701812315
ERX3015940_ERX3015940,-0.14523733377150236,0.9844007626552561,-0.13039090366148515,1.047502162916922,-0.05425549032302626,-0.21855817775888506,1.4091048839394704,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,0.44447801624904026,0.5796109820073183,-0.15686351163668644,-0.20587530345206198,-0.19145607240729606,-0.16054777896980216,-0.5347257619254069,-0.8425267862365506,-0.79912988775877,-0.08935995052611534,0.219704067561439,-0.06387854171460182,-0.05777318315861562,0.8395004578351251,-0.30193988408408506,-0.06598216926997823,0.4688050168562814,-0.29634289101532074,-0.005499911704974103,0.5743839742198742,-0.2907979724339996,-0.1852029101744124,1.3920692968550257,0.02169580305245175,1.1475296568456015,0.055144932182007,0.43764811825496774,-0.3610028110273267,0.6794985495621038,1.2208769670347333,-0.36853434476789304,2.401924036685887,-1.3028117775233627,-0.25863642045382695,0.9161403967270252,0.7621150979089606,-0.09225926045915189,0.13800138587260957,0.9087436428072375,-3.856669952074525,0.9949210829818769
ERX3015941_ERX3015941,-0.10580038377150236,0.45132366265525614,0.7892822963385149,0.3469407229169221,-0.05425549032302626,0.3491908622411149,1.3257661361830513,0.3446444363565236,0.3474233709825054,-0.04242906144329315,0.9457267410113892,0.2763528820073182,0.31662591233756077,-0.2972620506091783,-0.17453422992194004,-0.6945986965144926,0.5893420054098115,-0.6798577670848865,-0.647917572026766,0.22995541656519536,0.04898750079838354,-0.05387328471460182,-0.05777318315861562,0.905054157862665,-0.30193988408408506,-0.03745413146523789,0.15088674887850606,0.4580519489846793,1.0246213656608376,0.9586131397566566,-0.2907979724339996,-0.1852029101744124,0.4142187535315165,-0.20440697882667533,1.2781678481006562,0.257431015161002,0.048096088254967695,0.0009116485740241487,-0.6743366822145704,1.0624881441349494,-0.1239990223558538,0.4554255507320097,-1.1673608860181521,-0.25863642045382695,0.7397002762784342,1.2839406408519345,0.4135249485078012,0.21903062850762178,0.4581029034686843,-2.109350929297701,0.1795320629818769
ERX3015936_ERX3015936,-0.14523733377150236,0.6046666626552561,-0.11610069866148515,0.06238773291692212,-0.05425549032302626,0.896949022241115,0.7184348527039539,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,0.4885034870845024,0.1584596820073183,-0.18799905919782767,0.209829012657932,-0.0010756563373689465,0.09809717734688987,0.16794573572816118,0.6857461663665703,-0.30382950797685737,-0.6045343265020868,-0.21247768884534735,-0.06387854171460182,-0.05777318315861562,0.31530505187314306,-0.30193988408408506,-0.06598216926997823,-0.029019570746655732,0.08250483898467931,0.8203723857047958,-0.07470600288066054,-0.2907979724339996,-0.1852029101744124,0.7900540483176888,-0.20440697882667533,0.7859085231900549,-0.13615910798651543,-0.3112744817450323,-0.36970406923749,-0.5064679426092189,0.5470313583473383,0.2253364587171478,-1.2544082203592262,-0.5488516547101605,-0.25863642045382695,-0.8038695686291837,-0.23206041450453657,0.2341847303655411,0.06159815751872588,0.48349893475206596,-1.995143628938324,0.4630050829818769
ERX3015943_ERX3015943,-0.14523733377150236,0.06582951265525616,-0.13039090366148515,0.9005724629169221,-0.05425549032302626,-0.21855817775888506,0.19935791201806374,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,-0.6413743134045112,0.31937798200731815,0.21776444480843477,0.14428245929186748,-0.19145607240729606,-0.5679433844435067,-0.3895008851133308,-0.7130494818834929,-0.748414319700107,-0.06679245819164548,0.30265645446848666,-0.06387854171460182,-0.05777318315861562,0.965100011097439,-0.30193988408408506,-0.04489120901558787,0.784523330811767,-0.29634289101532074,0.0676373791070608,0.5077514892474766,-0.2907979724339996,-0.1852029101744124,1.222453759424168,0.6966681354659053,-0.15950817354896363,0.5997455508995091,-0.20593341174503227,1.1581267746842019,0.5792905816687006,0.8130730134014481,0.24137457392098338,1.2626567370728485,-0.19822309860357376,-0.25863642045382695,-0.12341117024071191,-0.31001271727591356,-0.330811362798741,0.9616056051733051,0.8508431616461887,-3.1441938235308147,0.05012368298187686
ERX3015935_ERX3015935,-0.12782064577150237,-0.18790863734474386,-0.13039090366148515,-0.03538715708307788,-0.05425549032302626,-0.16719064275888507,1.3956399067002088,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,-0.7264130538308661,0.3666696820073183,0.10655255358799937,-0.37992677817390885,-0.19145607240729606,-0.8287671451541114,0.007947689019466075,-0.28856718773774437,-0.7999685024327351,-0.12931744519722743,0.12837798306696868,-0.004200387714601822,-0.05777318315861562,0.15966188487932187,-0.30193988408408506,-0.06598216926997823,0.09519333744566927,0.17751106898467928,0.34255082450097263,0.2623258022398378,-0.2907979724339996,0.5174356898255876,1.1044462252799339,1.1379330003907253,0.79538756812671,0.8020434098614393,0.47079451825496776,0.50868474613215,0.23811376521222383,1.3134456845066844,0.3534627517209614,0.24469931255253027,-0.34893127458649575,-0.25863642045382695,0.6958009603741726,1.0335296837842947,1.1616019025370747,-0.49874222229289944,0.7785574022760147,-2.8928433221969634,-0.28629481701812315
ERX3015945_ERX3015945,-0.14523733377150236,-0.18790863734474386,0.9917923963385149,0.25265553291692217,-0.05425549032302626,-0.006980447758885067,0.723665426456056,-0.053670286872065986,-0.12117880901749463,-0.04242906144329315,0.07337364434571625,-0.13533881799268177,-0.20092728134862012,-0.3595950721639867,-0.19145607240729606,-0.8549139858128485,0.6849199369834216,-0.14695278617189,0.15706232374983797,-0.4895297257297202,0.28568722432632954,-0.06387854171460182,-0.05777318315861562,0.18051668613667093,-0.30193988408408506,-0.06598216926997823,0.24316619505191728,-0.2865739710153207,1.0241943033427336,1.1050161956881182,0.18700645701431423,-0.1852029101744124,1.2176418552451898,0.3238386867025299,0.435780308879413,0.3548404959114442,0.2118221482549677,0.5440677896848736,-0.34130116673733385,0.832664575203474,-0.6711220437006167,0.04825758615165266,-0.7376575323805481,-0.25863642045382695,-0.30795438046537305,0.33422067529852395,0.6060411237942709,-0.04933119245979878,0.1006987388103131,1.293960743665289,-0.28629481701812315
ERX3015938_ERX3015938,-0.04300580377150236,-0.15612777034474387,-0.07796977166148514,0.45439636291692215,-0.04354991032302626,0.19084000224111491,1.4867025752233631,-0.044516263526093496,-0.13094772901749463,-0.04242906144329315,0.6643546741011404,0.04842168200731822,-0.033487088316299984,-0.45138692349940457,-0.06118838476562491,0.4280784841360343,0.22288740829223386,-0.7359372644737112,-0.8013258746864762,-0.46053134692092135,-0.20171134804714896,-0.06387854171460182,-0.03873433326800139,0.6486331226834134,-0.30193988408408506,-0.005913174341428032,-0.5762978677879422,-0.21373880501532072,0.21917043746755616,-0.3395644046129016,-0.28055833143861997,-0.1852029101744124,0.9324474352432124,-0.009795058241218374,1.116563190305909,-0.12206936592571438,0.1671635482549677,-0.5192217079382497,-0.4040938022997193,1.2951353413520774,0.08889096221287085,-2.2568678161593962,-0.8221409133279926,-0.22685555345382694,0.014644991097877869,-0.4032536206573502,0.5535583987100119,0.31738248434210936,0.09783618487418311,-3.85700307818243,0.5240278429818769
ERX3015947_ERX3015947,-0.14523733377150236,-0.18790863734474386,0.7518961363385149,-0.03606180708307788,-0.05425549032302626,-0.21855817775888506,0.41053028356682686,-0.053670286872065986,-0.13094772901749463,-0.04242906144329315,0.19309362451061807,0.5964285820073183,-0.09634246881789876,-0.31662120908463953,0.01484428087021028,-0.4241433601144516,-0.12711050576484073,0.4198623190126203,0.49588904370123965,0.05296617950566307,0.5798942050967348,-0.029081519714601822,-0.05777318315861562,0.4310198612811589,-0.29021739209480313,-0.04358796411977845,-0.4821808971966292,-0.29634289101532074,0.28593135461817676,0.9510552218676032,-0.26848173811396286,-0.1852029101744124,1.623993206934589,-0.20440697882667533,0.25214767712250996,0.19717631736791086,0.04284488825496774,0.615662452546418,0.20071293586051653,0.812669510858433,-0.6261252609905597,1.2341922731008366,-0.48903032915390887,0.2126026195461731,-0.3031762891097416,0.2506330062079599,0.3193796585532904,-0.07019974598619005,0.9709964305527392,0.6431703285310256,-0.28629481701812315
